eleccion_tipo,provincia,agrupacion,votos
PASO,Chaco,UNION POR LA PATRIA,216257
PASO,Córdoba,HACEMOS POR NUESTRO PAIS,564182
PASO,Córdoba,JUNTOS POR EL CAMBIO,515456
PASO,Córdoba,LA LIBERTAD AVANZA,688684
PASO,Córdoba,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,31135
PASO,Jujuy,UNION POR LA PATRIA,87314
PASO,Neuquén,HACEMOS POR NUESTRO PAIS,7038
PASO,Neuquén,LA LIBERTAD AVANZA,156147
PASO,Neuquén,JUNTOS POR EL CAMBIO,91263
PASO,Neuquén,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,18847
PASO,Chubut,UNION POR LA PATRIA,71830
GENERAL,La Rioja,LA LIBERTAD AVANZA,89236
GENERAL,La Rioja,JUNTOS POR EL CAMBIO,27975
GENERAL,La Rioja,HACEMOS POR NUESTRO PAIS,20179
GENERAL,La Rioja,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2189
GENERAL,Jujuy,LA LIBERTAD AVANZA,168921
GENERAL,Jujuy,JUNTOS POR EL CAMBIO,90095
GENERAL,Jujuy,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,16006
GENERAL,Jujuy,HACEMOS POR NUESTRO PAIS,30775
GENERAL,Chubut,LA LIBERTAD AVANZA,120297
GENERAL,Chubut,JUNTOS POR EL CAMBIO,70717
GENERAL,Chubut,HACEMOS POR NUESTRO PAIS,26555
GENERAL,Chubut,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,15122
GENERAL,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",UNION POR LA PATRIA,40548
GENERAL,Santa Cruz,LA LIBERTAD AVANZA,62350
GENERAL,Santa Cruz,JUNTOS POR EL CAMBIO,28101
GENERAL,Santa Cruz,HACEMOS POR NUESTRO PAIS,11311
GENERAL,Santa Cruz,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4948
GENERAL,Buenos Aires,JUNTOS POR EL CAMBIO,2374023
GENERAL,Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,352790
GENERAL,Buenos Aires,HACEMOS POR NUESTRO PAIS,367457
GENERAL,Buenos Aires,LA LIBERTAD AVANZA,2533633
GENERAL,Catamarca,UNION POR LA PATRIA,99612
GENERAL,Corrientes,UNION POR LA PATRIA,260040
GENERAL,Río Negro,LA LIBERTAD AVANZA,148037
GENERAL,Río Negro,JUNTOS POR EL CAMBIO,79609
GENERAL,Río Negro,HACEMOS POR NUESTRO PAIS,27482
GENERAL,Río Negro,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,17649
GENERAL,Salta,UNION POR LA PATRIA,287756
GENERAL,Santiago del Estero,UNION POR LA PATRIA,402863
GENERAL,Santa Fe,UNION POR LA PATRIA,601241
PASO,Mendoza,UNION POR LA PATRIA,175522
PASO,Formosa,UNION POR LA PATRIA,147592
PASO,Chaco,LA LIBERTAD AVANZA,180599
PASO,Chaco,JUNTOS POR EL CAMBIO,165721
PASO,Chaco,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,7710
PASO,Chaco,HACEMOS POR NUESTRO PAIS,8833
PASO,Córdoba,UNION POR LA PATRIA,177528
PASO,Jujuy,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,28982
PASO,Jujuy,JUNTOS POR EL CAMBIO,100408
PASO,Jujuy,LA LIBERTAD AVANZA,168142
PASO,Jujuy,HACEMOS POR NUESTRO PAIS,7215
PASO,Neuquén,UNION POR LA PATRIA,79024
PASO,Chubut,JUNTOS POR EL CAMBIO,76603
PASO,Chubut,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,10419
PASO,Chubut,LA LIBERTAD AVANZA,124030
PASO,Chubut,HACEMOS POR NUESTRO PAIS,7587
GENERAL,La Rioja,UNION POR LA PATRIA,97412
GENERAL,Jujuy,UNION POR LA PATRIA,146027
GENERAL,Chubut,UNION POR LA PATRIA,110820
GENERAL,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",LA LIBERTAD AVANZA,35891
GENERAL,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",JUNTOS POR EL CAMBIO,15875
GENERAL,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",HACEMOS POR NUESTRO PAIS,9714
GENERAL,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4091
GENERAL,Santa Cruz,UNION POR LA PATRIA,65062
